Jurisdictions,Total Households,Population 25 years and older,Less than 9th Grade,High School no Diploma,High School Diploma,Some College no degree,Associates degree,Bachelor's degree,Graduate or Professional,Employment Status of the Population 16 years and over,Civilian Labor Force (16 years & over),Employed,Unemployed,Unemployment Rate,Commute Workers 16 yrs and over,Percent Drove Alone,Percent Carpooled,Percent Public Transportation,Percent Walked,Percent Other,Percent Worked at Home,Median Household Income ($),Families,Percent Families in Poverty,Percent Civilian Population w/ Health Ins. Cov.,Total Housing Units,Percent Occupied,Percent Vacant,Total Population,Voting Age Population,Male,Female,White Alone,Black Alone,Asian Alone,American Indian/Alaska Native Alone,Native Hawaiian/Pacific Islander Alone,Some Other Race Alone,Two or More Races,Hispanic or Latino (of any race)
Garrett County,11865,21378,730,1602,9311,3700,1843,2244,1948,24679,14638,13937,701,4.8,13738,79.5,9.9,0.6,3.7,0.6,5.7,48174,8206,7.6,92.5,19080,61.8,38.2,29516,23763,14618,14898,28689,170,111,62,0,16,468,316
Harford County,92895,172031,3782,8507,46622,38458,14187,36150,24325,200369,136253,129108,7145,5.2,128501,83.4,8.6,1.7,1.2,0.8,4.4,83445,67167,5.4,96.1,98277,94,6,250132,189002,122344,127788,198611,33702,6564,444,11,3267,7533,10608
Howard County,111337,210338,4546,5386,29437,30345,11851,63325,65448,244975,174816,167493,7323,4.2,166207,81.2,7.2,3.8,1,1.1,5.7,115576,82294,3.6,95.2,115003,95.6,4.4,312495,212310,152843,159652,183406,57755,54328,592,41,3727,12646,20343
Kent County,7605,13932,622,1142,4138,2615,784,2644,1987,16794,9588,9131,457,4.8,8927,67.8,7.9,1.8,10,1.6,11,56638,4644,7.8,93.7,10667,71.3,28.7,19666,15837,9426,10240,16175,2914,218,39,0,29,291,851
Montgomery County,369242,713454,36934,26790,98014,98365,37163,190725,225463,822213,585924,554085,31839,5.4,545924,65.3,9.8,15.5,2.1,1.4,5.9,103178,257855,4.8,91.6,385485,95.5,4.5,1039198,653497,501571,537627,563929,187943,153504,3091,477,88027,42227,197242
Prince George's County,306694,607229,43844,40417,156973,136486,36033,110917,82559,723402,514437,476889,37548,7.3,469632,66.5,11.3,16,2,1.4,2.8,78607,202472,6.5,88.1,330708,92.8,7.2,905161,595152,435878,469283,170009,572465,38811,3266,333,96031,24246,157427
Queen Anne's County,17995,34452,750,2026,10163,6464,2892,7377,4780,39552,26542,25556,986,3.7,24973,77.7,9.8,2.2,1.6,1.2,7.6,89241,12995,3.8,95,20754,86.2,13.8,49071,37499,24230,24841,43799,3439,268,38,67,441,1019,1805
St. Mary's County,39276,73031,2404,5125,21776,15543,5951,13009,9223,86676,56495,54121,2374,4.2,55125,82.6,9.4,2.2,2.4,1,2.5,86508,27646,5.8,94.2,43276,89.6,10.4,110979,81547,55420,55559,87485,15922,3079,220,28,684,3561,5377
Somerset County,8362,17070,872,2228,7180,3441,887,1617,845,21979,9564,8593,971,10.2,8335,81.6,6.2,0.8,5.6,1.4,4.5,39239,5258,18,91.3,11244,73.8,26.2,25801,20719,13821,11980,13703,10845,266,91,13,414,469,906
Talbot County,16498,28077,996,1956,7210,5433,1989,5448,5045,31332,18689,17863,826,4.4,17611,78.1,9.7,1.3,3.3,1.2,6.3,65595,10959,6.7,93.8,20110,81.9,18.1,37461,29319,17595,19866,31137,4342,534,32,31,378,1007,2427
Washington County,55999,103916,3313,10233,38185,21830,8061,13451,8843,120112,72273,67375,4898,6.8,66237,80.8,9.8,1.4,2.1,1.1,4.8,58260,37413,9.7,93,61199,91.4,8.6,149546,113424,75958,73588,124033,15675,2636,330,62,1375,5435,6698
Wicomico County,37415,63959,2331,4987,21301,13111,4458,10373,7398,82053,53854,49785,4069,7.6,48673,83.6,8.6,0.6,2.4,1.5,3.3,54493,24425,10.2,91.7,41911,88.8,11.2,102014,75053,48622,53392,69062,25818,3336,210,74,983,2531,5145
Worcester County,21190,38930,1043,2819,12456,8238,2675,7439,4260,43529,25756,23915,1841,7.1,23449,80.5,7.3,2.2,2.6,1.9,5.5,59458,13493,7.8,92.6,55822,37.8,62.2,51559,41458,25205,26354,42634,6977,710,102,55,149,932,1741
Baltimore city,239791,425235,20732,46577,126395,82107,20061,67779,61584,502594,308703,277954,30749,10,272953,60,9.1,18.2,6.6,2.3,3.8,46641,123385,17.2,92,296923,81.3,18.7,619796,462592,291377,328419,187725,389222,15855,1886,309,10412,14387,30729
